"set"	"focusDB"	"silva"	"pkb"	"pkb_v13"	"pkb_v34"	"ref_gcn"	"ref_gcn_unique"	"assembly"	"source"	"target"
"fast"	"SRR2889779_1.1193.2709 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	0	0	0	5	4	"GCA_000755185.1"	"SRR2889779_1.1193.2709"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"fast"	"SRR2889779_2.4899.6415 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	35.4796320630749	47.5247524752475	24.7191011235955	5	4	"GCA_000755185.1"	"SRR2889779_2.4899.6415"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"fast"	"SRR2889779_3.1193.2709 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	38.7393302692055	47.5247524752475	35.8744394618834	5	4	"GCA_000755185.1"	"SRR2889779_3.1193.2709"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"fast"	"SRR2889779_4.1195.2711 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	37.4507227332457	47.5247524752475	26.9662921348315	5	4	"GCA_000755185.1"	"SRR2889779_4.1195.2711"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"fast"	"SRR2889779_5.4899.6415 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	35.4796320630749	47.5247524752475	24.7191011235955	5	4	"GCA_000755185.1"	"SRR2889779_5.4899.6415"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"full"	"SRR2889779_1.879515.881031 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	35.4796320630749	47.5247524752475	24.7191011235955	5	4	"GCA_000755185.1"	"SRR2889779_1.879515.881031"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"full"	"SRR2889779_2.887538.889054 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	35.4796320630749	47.5247524752475	24.7191011235955	5	4	"GCA_000755185.1"	"SRR2889779_2.887538.889054"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"full"	"SRR2889779_3.1278587.1280103 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	35.4796320630749	47.5247524752475	24.7191011235955	5	4	"GCA_000755185.1"	"SRR2889779_3.1278587.1280103"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"full"	"SRR2889779_4.1285487.1287003 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	35.4796320630749	47.5247524752475	24.7191011235955	5	4	"GCA_000755185.1"	"SRR2889779_4.1285487.1287003"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"full"	"SRR2889779_5.1855584.1857100 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	35.4796320630749	47.5247524752475	24.7191011235955	5	4	"GCA_000755185.1"	"SRR2889779_5.1855584.1857100"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"denovo"	"SRR2889779_1.433.1949 Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium sp. ATCC 6931"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"	35.4796320630749	47.5247524752475	24.7191011235955	5	4	"GCA_000755185.1"	"SRR2889779_1.433.1949"	"GCA_000755185.1..16S_rRNA::CP008913.1:766606-768123(-)"
"fast"	"SRR2175366_1.1190.2739 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.22997416020672	3.73134328358209	4.3010752688172	10	9	"GCA_000832665.1"	"SRR2175366_1.1190.2739"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_2.1198.2747 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	5.81395348837209	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_2.1198.2747"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_3.4430.5979 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	5.16795865633075	5.59701492537313	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_3.4430.5979"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_4.1199.2748 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.87596899224806	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_4.1199.2748"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_5.1197.2747 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	5.16462233699161	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_5.1197.2747"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_6.1199.2747 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.23206205559147	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_6.1199.2747"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_7.4459.6008 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.87596899224806	1.86567164179104	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_7.4459.6008"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_8.4461.6010 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	5.81395348837209	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_8.4461.6010"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_9.1198.2747 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.87596899224806	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_9.1198.2747"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2175366_10.1183.2731 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	0.646412411118294	1.86567164179104	0	10	9	"GCA_000832665.1"	"SRR2175366_10.1183.2731"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"full"	"SRR2175366_1.14938.16487 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	4.52196382428941	5.59701492537313	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_1.14938.16487"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"full"	"SRR2175366_2.24910.26459 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.87596899224806	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_2.24910.26459"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"full"	"SRR2175366_3.267568.269117 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.22997416020672	1.86567164179104	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_3.267568.269117"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"full"	"SRR2175366_4.476932.478481 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.87596899224806	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_4.476932.478481"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"full"	"SRR2175366_5.19031.20580 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.87596899224806	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_5.19031.20580"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"full"	"SRR2175366_6.119752.121301 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	4.52196382428941	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_6.119752.121301"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"full"	"SRR2175366_7.61568.63117 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.87596899224806	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_7.61568.63117"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"denovo"	"SRR2175366_1.22.1571 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus anthracis"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"	3.87596899224806	3.73134328358209	6.45161290322581	10	9	"GCA_000832665.1"	"SRR2175366_1.22.1571"	"GCA_000832665.1..16S_rRNA::CP009544.1:4340956-4342505(-)"
"fast"	"SRR2171381_1.1199.2748 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	4.3010752688172	13	10	"GCA_000835185.1"	"SRR2171381_1.1199.2748"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_2.4425.5973 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	3.22997416020672	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_2.4425.5973"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_3.4418.5967 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	1.93798449612403	0	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_3.4418.5967"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_4.4428.5977 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	3.22997416020672	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_4.4428.5977"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_5.4424.5972 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	0	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_5.4424.5972"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_6.4426.5975 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_6.4426.5975"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_7.4427.5975 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_7.4427.5975"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_8.1200.2749 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_8.1200.2749"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_9.4463.6012 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	0	0	0	13	10	"GCA_000835185.1"	"SRR2171381_9.4463.6012"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_10.1194.2743 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	3.22997416020672	3.73134328358209	4.3010752688172	13	10	"GCA_000835185.1"	"SRR2171381_10.1194.2743"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2171381_11.1201.2750 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	3.22997416020672	3.73134328358209	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_11.1201.2750"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_1.3806.5355 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_1.3806.5355"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_2.249903.251452 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_2.249903.251452"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_3.457958.459507 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_3.457958.459507"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_4.465134.466683 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_4.465134.466683"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_5.475136.476685 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	1.93798449612403	0	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_5.475136.476685"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_6.482328.483877 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	1.93798449612403	0	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_6.482328.483877"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_7.502846.504395 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_7.502846.504395"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_8.612720.614269 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_8.612720.614269"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_9.237387.238936 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	3.22997416020672	3.73134328358209	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_9.237387.238936"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"full"	"SRR2171381_10.257184.258733 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_10.257184.258733"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"denovo"	"SRR2171381_1.22.1571 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus cereus"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"	2.58397932816537	1.86567164179104	2.1505376344086	13	10	"GCA_000835185.1"	"SRR2171381_1.22.1571"	"GCA_000835185.1..16S_rRNA::CP009605.1:4741417-4742967(+)"
"fast"	"SRR2175478_1.4331.5879 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus thuringiensis"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"	5.15796260477112	1.86567164179104	6.45161290322581	14	13	"GCA_000833085.1"	"SRR2175478_1.4331.5879"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"
"fast"	"SRR2175478_2.1188.2737 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus thuringiensis"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"	2.57898130238556	1.86567164179104	0	14	13	"GCA_000833085.1"	"SRR2175478_2.1188.2737"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"
"fast"	"SRR2175478_3.4425.5974 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus thuringiensis"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"	5.8027079303675	5.59701492537313	8.60215053763441	14	13	"GCA_000833085.1"	"SRR2175478_3.4425.5974"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"
"fast"	"SRR2175478_4.4411.5960 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus thuringiensis"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"	2.57898130238556	0	2.1505376344086	14	13	"GCA_000833085.1"	"SRR2175478_4.4411.5960"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"
"fast"	"SRR2175478_5.1188.2736 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus thuringiensis"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"	3.86847195357834	1.86567164179104	0	14	13	"GCA_000833085.1"	"SRR2175478_5.1188.2736"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"
"fast"	"SRR2175478_6.1192.2741 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus thuringiensis"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"	2.57898130238556	0	0	14	13	"GCA_000833085.1"	"SRR2175478_6.1192.2741"	"GCA_000833085.1..16S_rRNA::CP010088.1:3008171-3009724(+)"
